Place,Lat,Lon
"Aberdeen, WA",46.9753708,-123.8157218
"Abilene, KS",38.9172216,-97.2139094
"Abilene, TX",32.4487364,-99.7331439
"Abington, PA",40.1240795,-75.1195107
"Adel, IA",41.6144325,-94.017453
"Adrian, MI",41.8975471,-84.0371659
"Ainsworth, NE",42.5449992,-99.8615126
"Ainswroth, NE",42.5449992,-99.8615126
"Ajo, AZ",32.3717248,-112.86071
"Akron, OH",41.0814447,-81.5190053
"Alamo, CA",37.8502032,-122.032184
"Albion, MI",42.243097,-84.7530304
"Albuquerque, NM",35.0853336,-106.6055534
"Alexandria, VA",38.8048355,-77.0469214
"Alfalfa, OR",44.0775,-121.01583
"Allison Park, PA",40.5594832,-79.9592134
"Alma, WI",44.3199654,-91.9148839
"Alpine, CA",32.8350521,-116.7664109
"Altadena, CA",34.190162,-118.1313188
"Altoona, PA",40.5186809,-78.3947359
"Alvarado, TX",32.4065312,-97.2116782
"Ames, IA",42.02335,-93.625622
"Amherst, MA",42.3732216,-72.5198537
"Anacortes, WA",48.5126045,-122.6126718
"Anaheim, CA",33.8352932,-117.9145036
"Anchor Bay, CA",38.8026883,-123.5777894
"Anchorage, AK",61.2180556,-149.9002778
"Anderson, SC",34.5034394,-82.6501332
"Annapolis, MD",38.9784453,-76.4921829
"Anniston, AL",33.6598257,-85.8316318
"Antlers, OK",34.231212,-95.6202476
"Apache Junction, AZ",33.4150485,-111.5495777
"Apopka, FL",28.6934076,-81.5322149
"Apple Valley, MN",44.7319094,-93.21772
"Appleton, WI",44.2619309,-88.4153847
"Appling, GA",33.545833,-82.315833
"Aptos, CA",36.9771729,-121.8994016
"Arcadia, FL",27.2158826,-81.8584164
"Arcata, CA",40.8665166,-124.0828396
"Arlington, TX",32.735687,-97.1080656
"Arlington, VA",38.8799697,-77.1067698
"Arlington, WA",48.1987118,-122.1251418
"Arrington, TN",35.8681199,-86.7091643
"Asheville, NC",35.6009452,-82.554015
"Ashford, WA",46.7584413,-122.0309409
"Ashland, VA",37.7590318,-77.4799837
"Ashland, WI",46.5924428,-90.8837982
"Astoria, OR",46.1878841,-123.8312534
"Athens, GA",33.955802,-83.3823656
"Athens, OH",39.3292396,-82.1012554
"Athens, TN",35.4428512,-84.5929898
"Atlanta, GA",33.7489954,-84.3879824
"Atlanta, IL",40.2594846,-89.2334236
"Aurora, CO",39.7294319,-104.8319195
"Austin, TX",30.267153,-97.7430608
"Avenue City, MO",39.8633274,-94.7571864
"Bainbridge Island, WA",47.6262081,-122.5212448
"Bainbridge, WA",47.655097,-122.5179118
"Baker City, OR",44.7748748,-117.8343848
"Bandera, TX",29.7266131,-99.0736462
"Bandon, OR",43.1189978,-124.408448
"Banks, OR",45.6187245,-123.1142758
"Bansall, CA",33.2889226,-117.2255903
"Bardwell, TX",32.2690354,-96.6961027
"Battle Creek, MI",42.3211522,-85.1797142
"Baxter Springs, KS",37.0236759,-94.7355042
"Baxter, TN",36.1536718,-85.6435909
"Bayfield, WI",46.8107671,-90.81824
"Beaver, OR",45.2767726,-123.8265055
"Beaverton, OR",45.487062,-122.8037102
"Belgrade, MT",45.7786111,-111.1788889
"Bellaire, TX",29.7057858,-95.4588299
"Belle Plaine, IA",41.8955529,-92.2757404
"Bellemont, AZ",35.2380657,-111.8334974
"Bellevue, TN",36.0727326,-86.9624086
"Bellevue, WA",47.610377,-122.2006786
"Bellingham, WA",48.7595529,-122.4882249
"Bells, TX",33.6103837,-96.4108188
"Bellville, TX",29.9502253,-96.2571858
"Belmar, NJ",40.1784471,-74.0218037
"Belmont, MA",42.3956405,-71.1776114
"Belton, TX",31.0560132,-97.464453
"Belvidere, NJ",40.82982,-75.0776747
"Benbrook, TX",32.673188,-97.4605759
"Bend, OR",44.0581728,-121.3153096
"Benicia, CA",38.049365,-122.1585777
"Bennett, CO",39.7588736,-104.4274609
"Benson, NC",35.3821067,-78.548621
"Berea, OH",41.3661614,-81.8543026
"Bergen Park, CO",39.6944559,-105.357761
"Berkeley, CA",37.8715926,-122.272747
"Berkley, MI",42.5030908,-83.1835389
"Berryville, VA",39.1517713,-77.9822193
"Bethesda, MD",38.9806658,-77.100256
"Bethesda, TN",35.8222888,-85.3424701
"Beverly, MA",42.5584283,-70.880049
"Bexley, OH",39.9689532,-82.9376804
"Bingen, WA",45.7148416,-121.4645173
"Binghamton, NY",42.0986867,-75.9179738
"Biscoe, NC",35.3598626,-79.7797613
"Bishop, CA",37.3635404,-118.3951101
"Bismarck, ND",46.8083268,-100.7837392
"Black Diamond, WA",47.3087121,-122.0031691
"Black Mountain, NC",35.6178951,-82.3212302
"Black River Falls, WI",44.2946833,-90.8515311
"Blowing Rock, NC",36.135129,-81.6776059
"Blue Ash, OH",39.2320029,-84.3782734
"Blue Ridge, TX",33.2978909,-96.4016498
"Bluff, UT",37.2844448,-109.5517877
"Bluffdale, UT",40.4896711,-111.9388244
"Boalsburg, PA",40.7756184,-77.7924992
"Boca  Raton, FL",26.3683064,-80.1289321
"Boca Raton, FL",26.3586885,-80.0830984
"Bogart, GA",33.949281,-83.534608
"Boiling Springs, PA",40.1498124,-77.1283133
"Boise, ID",43.5867164,-116.1956556
"Bolivar, TX",33.3584483,-97.2452944
"Bonifay, FL",30.7918559,-85.6796533
"Bonsall, CA",33.2889226,-117.2255903
"Boone, NC",36.216795,-81.6745517
"Boonville, MO",38.9736392,-92.7432418
"Borrego Springs, CA",33.2558717,-116.375012
"Boston, MA",42.3584308,-71.0597732
"Boulder, CO",40.0149856,-105.2705456
"Bowling Green, OH",41.3747744,-83.6513229
"Bozeman, MT",45.68346,-111.050499
"Brandenton, FL",27.4989278,-82.5748194
"Brandon, MS",32.2732024,-89.9859158
"Brattleboro, VT",42.8509152,-72.5578678
"Brazil, IN",39.523652,-87.1250154
"Bremerton, WA",47.57,-122.6525
"Brenham, TX",30.1668828,-96.3977442
"Brentwood, TN",36.0331164,-86.7827772
"Brevard, NC",35.2334472,-82.7342919
"Brick, NJ",40.0578384,-74.1371832
"Bridgewater, VA",38.3820706,-78.976696
"Brigham City, UT",41.5102129,-112.0155015
"Bristow, VA",38.7228945,-77.5361005
"Brock, TX",32.675804,-97.94059
"Broken Bow, OK",34.0292764,-94.7391045
"Bronte, TX",31.8873671,-100.2917601
"Bronx, NY",40.8370495,-73.8654295
"Brookings, OR",42.0526114,-124.2839819
"Brooklyn Center, MN",45.076076,-93.3327283
"Brookshire, TX",29.7860643,-95.9510661
"Brownfield, TX",33.1812035,-102.2743489
"Brownsville, TN",35.5939671,-89.262291
"Bryan, TX",30.6743643,-96.3699632
"Buckeye, AZ",33.3703197,-112.5837766
"Buellton, CA",34.613597,-120.1926505
"Buena Vista, CO",38.8422178,-106.1311288
"Burgank, CA",34.1808392,-118.3089661
"Burlington, KS",38.1944667,-95.7427641
"Burlington, VT",44.4758825,-73.212072
"Burlington, WA",48.4756621,-122.3254375
"Burns, OR",43.5862606,-119.0541032
"Byers, CO",39.7113708,-104.2277358
"Cadiz, KY",36.8650496,-87.835295
"Calabasas, CA",34.1367208,-118.6614809
"Calera, OK",33.9345433,-96.4286022
"Calexico, CA",32.6789476,-115.4988834
"California, MD",38.3004029,-76.5074542
"Calipatria, CA",33.1255957,-115.5141538
"Callisburg, TX",33.6978844,-97.0088971
"Camano Island, WA",48.1739862,-122.5282138
"Camarillo, CA",34.2163937,-119.0376023
"Cameron, AZ",35.8758285,-111.4129207
"Camp Verde, AZ",34.5636358,-111.8543178
"Canal Winchester, OH",39.8466556,-82.8123646
"Canandaigua, NY",42.887535,-77.2816984
"Cannon Beach, OR",45.8917738,-123.9615274
"Canton, TX",32.5565244,-95.8632996
"Cape Charles, VA",37.267916,-76.0174336
"Cape Coral, FL",26.5628537,-81.9495331
"Cape May, NJ",38.9351125,-74.9060053
"Cape Vincent, NY",44.1278299,-76.3330006
"Carbondale, IL",37.7272727,-89.2167501
"Carlisle, PA",40.2025,-77.195
"Carlsbad, CA",33.1580933,-117.3505939
"Carlstadt, NJ",40.8403778,-74.0906974
"Carlyle, IL",38.6103264,-89.3725796
"Carmel Valley, CA",36.4799184,-121.7328075
"Carmel, CA",36.5552386,-121.9232879
"Carmel, IN",39.978371,-86.1180435
"Carmichael, CA",38.617127,-121.3282843
"Carpinteria, CA",34.3988838,-119.5184564
"Carson, WA",45.725,-121.818333
"Carthage, MO",37.176447,-94.3102228
"Casa Grande, AZ",32.8795022,-111.7573521
"Castle Rock, CO",39.3722121,-104.8560902
"Castro Valley, CA",37.6940973,-122.0863522
"Catalina, AZ",32.5000731,-110.9212146
"Catonsville, MD",39.2720509,-76.7319161
"Cedar Falls, IA",42.5236111,-92.4463889
"Cedar Park, TX",30.505198,-97.8202888
"Cedartown, GA",34.01849,-85.253464
"Celina, TX",33.3245586,-96.7844417
"Celo, NC",35.8551177,-82.1978994
"Centralia, WA",46.7162136,-122.9542972
"Centreville, MD",39.0417785,-76.0663334
"Chambersburg, PA",39.9375911,-77.6611022
"Chandler, AZ",33.3061605,-111.8412502
"Chapel Hill, NC",35.9131996,-79.0558445
"Chappell Hill, TX",30.1427171,-96.2569071
"Chariton, IA",41.017594,-93.309862
"Chattanooga, TN",35.0456297,-85.3096801
"Chattaroy, WA",47.8896162,-117.3577177
"Chehalis, WA",46.6620478,-122.9640175
"Chelmsford, MA",42.5998139,-71.3672838
"Chesapeake, VA",36.7682088,-76.2874927
"Chester, MD",38.9753903,-76.2893991
"Cheyenne, WY",41.1399814,-104.8202462
"Chico, CA",39.7284944,-121.8374777
"Childersburg, AL",33.2781686,-86.3549774
"Chino Valley, AZ",34.7575227,-112.4537809
"Chitina, AK",61.5158333,-144.4369443
"Choteau, MT",47.8124531,-112.1836301
"Christiansted, St. Croix, VI",17.7466397,-64.7031977
"Christoval, TX",31.1935006,-100.4987052
"Chula Vista, CA",32.6400541,-117.0841955
"Church Creek, MD",38.5020649,-76.1521643
"Cincinnati, OH",39.1031182,-84.5120196
"Citrus Springs, FL",28.9974771,-82.4706548
"City, State",32.5641645,-116.9452974
"Clairemont West, CA",32.8239594,-117.1848787
"Clarkston, WA",46.4162723,-117.0451581
"Clarksville, MD",39.2061962,-76.9455664
"Clarksville, TN",36.5297706,-87.3594528
"Clarksville, VA",36.6240297,-78.5569449
"Clatskanie, OR",46.1012219,-123.2067863
"Clayton, NC",35.650711,-78.4563914
"Cle Elum, MN",46.729553,-94.6858998
"Cle Elum, WA",47.1953976,-120.939249
"Clearview, WA",47.833889,-122.124722
"Cleburne, TX",32.3476438,-97.3866837
"Clemmons, NC",36.0215258,-80.3819984
"Clemson, SC",34.6834382,-82.8373654
"Clermont, FL",28.5494447,-81.7728543
"Clewiston, FL",26.7542312,-80.9336753
"Clifton, AZ",33.0508966,-109.2961826
"Clinton, MI",42.5868882,-82.9195514
"Clinton, MO",38.3686324,-93.7782689
"Clinton, UT",41.139666,-112.0504983
"Clinton, WA",47.9784276,-122.3556962
"Clints Well, AZ",34.5544699,-111.3129169
"Cloverdale, CA",38.8054624,-123.0172227
"Clovis, NM",34.4047987,-103.2052272
"Coconut Creek, FL",26.2517482,-80.1789351
"Colbert, OK",33.8531568,-96.5024916
"Colbert, WA",47.8265601,-117.3418832
"Coldwater, MI",41.9403263,-85.0005215
"College Park, MD",38.9896967,-76.93776
"College Station, TX",30.627977,-96.3344068
"Collinwood, TN",35.1742474,-87.7378029
"Colorado City, CO",37.9452861,-104.8352628
"Colorado Springs, CO",38.8338816,-104.8213634
"Columbia Furnace, VA",38.8762228,-78.6255697
"Columbia, MO",38.9517053,-92.3340724
"Columbus, IN",39.2014404,-85.9213796
"Columbus, OH",39.9611755,-82.9987942
"Columbus, TX",29.7066232,-96.5396933
"Concord, CA",37.9779776,-122.0310733
"Concord, MA",42.4603719,-71.3489484
"Condon, OR",45.2342966,-120.1850344
"Confluence, PA",39.8128547,-79.3567015
"Congress, AZ",34.162526,-112.8507374
"Connell, WA",46.6634733,-118.8611117
"Conway, AR",35.0886963,-92.4421011
"Conway, NH",43.9791831,-71.1203479
"Cooke City, MT",45.0187722,-109.9344667
"Cookeville, TN",36.162839,-85.5016423
"Cooper City, FL",26.0573112,-80.271716
"Coraopolis, PA",40.5184013,-80.1667247
"Corona del Mar, CA",33.59806,-117.87222
"Corona, CA",33.8752935,-117.5664384
"Coronado, CA",32.6858853,-117.1830891
"Corvallis, OR",44.5645659,-123.2620435
"Cosmopolis, WA",46.9553719,-123.7737763
"Cottonwood Heights, UT",40.6183158,-111.8162931
"Council Grove, KS",38.6611187,-96.4919473
"Covington, TX",32.1784832,-97.2580677
"Cranbury, NJ",40.3025907,-74.511172
"Crane, TX",31.3973624,-102.3501419
"Creal Springs, IL",37.6194946,-88.8367311
"Crested Butte, CO",38.8697146,-106.9878231
"Crete, NE",40.6252173,-96.9615141
"Crockett, TX",31.3182359,-95.4566136
"Crofton, MD",39.0017772,-76.6874671
"Cromwell, CT",41.6235809,-72.6505957
"Crowley, TX",32.5790251,-97.3625172
"Cuchara, CO",37.379167,-105.099722
"Culver City, CA",34.0211224,-118.3964665
"Cumberland, MD",39.6528654,-78.7625185
"Cumming, GA",34.2073196,-84.1401926
"Cupertino, CA",37.3229978,-122.0321823
"Custer, SD",43.7666507,-103.5988057
"Dacula, GA",33.9887165,-83.8979573
"Dahlonega, GA",34.5261465,-83.9843953
"Dallas, TX",32.802955,-96.769923
"Daly City, CA",37.6879241,-122.4702079
"Damascus, VA",36.6337272,-81.7837303
"Dana Point, CA",33.4669721,-117.6981075
"Daphne, AL",30.6035255,-87.9036047
"Dardanelle, AR",35.2231408,-93.1579532
"Darnestown, MD",39.1034409,-77.2908166
"Davenport, IA",41.5236437,-90.5776367
"Davenport, WA",47.6540456,-118.149973
"Davie, FL",26.0764783,-80.2521157
"Davis, CA",38.5449065,-121.7405167
"Dayton, OH",39.7589478,-84.1916069
"Dayton, OR",45.2206728,-123.0762134
"Deadwood, SD",44.376651,-103.7296415
"Decatur, GA",33.7748275,-84.2963123
"Del Rey Oaks, CA",36.5932934,-121.8349515
"Deland, FL",29.028318,-81.3031179
"Delavan, WI",42.6330703,-88.6437138
"Delaware Water Gap, PA",40.9792619,-75.1429563
"Delray Beach, FL",26.4614625,-80.0728201
"Delta, CO",38.7422062,-108.0689582
"Delta, UT",39.3521777,-112.57717
"Deltona, FL",28.9005446,-81.2636738
"Deming, WA",48.8256718,-122.21599
"Denali National Park, AK",63.625637,-151.1602068
"Denison, TX",33.7556593,-96.536658
"Denton, MD",38.8845582,-75.8271563
"Denver, CO",39.7391536,-104.9847034
"Des Moines, IA",41.6005448,-93.6091064
"Des Moines, WA",47.4017661,-122.3242902
"Descanso, CA",32.8528287,-116.6158525
"Deshler, NE",40.1408402,-97.7228191
"Diamond Lake, OR",43.1736956,-122.1521466
"Dighton, KS",38.4819612,-100.4670844
"Dillsburg, PA",40.1109255,-77.034978
"Dobson, NC",36.3956891,-80.722567
"Drummond, MT",46.6674305,-113.1472857
"Duarte, CA",34.1394513,-117.9772873
"Dublin, CA",37.7021521,-121.9357918
"Duncanville, TX",32.6518004,-96.9083366
"Dunnellon, FL",29.0491426,-82.4609331
"Durango, CO",37.27528,-107.8800667
"Durham, NC",35.9940329,-78.898619
"Duvall, WA",47.7423218,-121.9856781
"E. Wenatchee, WA",47.4156824,-120.2931263
"East Dundee, IL",42.0989145,-88.2714689
"East Wenatchee, WA",47.4156824,-120.2931263
"Easton, MD",38.7742826,-76.0763305
"Easton, PA",40.688432,-75.2207323
"Eastsound, WA",48.696654,-122.9061069
"Edgartown, MA",41.3890052,-70.5133599
"Edgefield, SC",33.7895774,-81.9295582
"Edinburg, VA",38.8209466,-78.5658453
"Edison, NJ",40.5187154,-74.4120953
"Egg Harbor Township, NJ",39.3911111,-74.5938889
"El Cajon, CA",32.7947731,-116.9625269
"El Campo, TX",29.1966405,-96.2696867
"El Cerrito, CA",37.9161326,-122.310765
"Elbe, WA",46.7648287,-122.1937212
"Elgin, OR",45.5648612,-117.917434
"Elkhart, TX",31.6251747,-95.5793977
"Ellicott City, MD",39.2673283,-76.7983067
"Elmira, NY",42.0897965,-76.8077338
"Elwood, KS",39.7555498,-94.872466
"Ely, MN",47.9032372,-91.8670873
"Emmitsburg, MD",39.7045417,-77.3269307
"Emporia, KS",38.403903,-96.1816626
"Encinitas, CA",33.0369867,-117.2919818
"Enumclaw, WA",47.2042681,-121.9915003
"Ephrata, PA",40.1798165,-76.1788391
"Ephrata, WA",47.3176385,-119.5536491
"Era, TX",33.4953886,-97.288073
"Escondido, CA",33.1192068,-117.086421
"Eugene, OR",44.0520691,-123.0867536
"Eustis, FL",28.8527675,-81.6853534
"Evans, GA",33.5337464,-82.1306747
"Evanston, WY",41.2682794,-110.9632373
"Everett, WA",47.9789848,-122.2020794
"Fagatoga, AS",-14.2795685,-170.6923312
"Fair Oaks, CA",38.6446264,-121.2721718
"Fairbanks Ranch, CA",32.9939331,-117.1872572
"Fairbanks, AK",64.8377778,-147.7163889
"Fairfax, CA",37.9871454,-122.5888686
"Fairfax, VA",38.8462236,-77.3063733
"Fairfield, CA",38.24935809,-122.0399663
"Fairfield, CT",41.1408363,-73.2612615
"Fairplay, CO",39.2247125,-106.0019618
"Fairview, UT",39.626351,-111.4396325
"Falcon, CO",38.9330494,-104.6085826
"Falls Church, VA",38.882334,-77.1710914
"Falls City, NE",40.0608352,-95.6019294
"Felton, CA",37.0513374,-122.0732973
"Fenwick Island, DE",38.4623346,-75.05129219999999
"Fernandina Beach, FL",30.6696818,-81.46259189999999
"Flagstaff, AZ",35.2013516,-111.639249
"Flemington, NJ",40.5123258,-74.8593318
"Florence, AZ",33.0314508,-111.3873431
"Florence, OR",43.9826214,-124.0998409
"Florence, SC",34.1954331,-79.7625625
"Florence, TX",30.8412954,-97.7936268
"Florida City, FL",25.4478898,-80.4792237
"Floyd, VA",36.9112443,-80.3200502
"Foothill Ranch, CA",33.68639,-117.66
"Forest Grove, OR",45.5198364,-123.1106631
"Forest Hills, NY",40.718106,-73.8448469
"Forks, WA",47.950355,-124.3854867
"Fort  Davis, TX",30.5882111,-103.8946253
"Fort Collins, CO",40.5852602,-105.084423
"Fort Davis, TX",30.5882111,-103.8946253
"Fort Lauderdale, FL",26.1223084,-80.1433786
"Fort Lee, NJ",40.8509333,-73.9701381
"Fort Myers, FL",26.640628,-81.8723084
"Fort Pierce, FL",27.4467056,-80.3256056
"Fort Worth, TX",32.725409,-97.3208496
"Fountain Hills, AZ",33.60535,-111.741113
"Fox, AK",64.9580556,-147.6183333
"Frankfort, KY",38.2009055,-84.8732835
"Frankfort, MI",44.6336096,-86.2345396
"Franklin, KY",36.722263,-86.5772177
"Franklin, TN",35.9250637,-86.8688899
"Franklin, VA",36.6776507,-76.9224608
"Franklinton, LA",30.8471283,-90.153141
"Frazier Park, CA",34.8227556,-118.9448219
"Frederick, MD",39.4142688,-77.4105409
"Fredericksburg, TX",30.2752011,-98.8719843
"Fredericksburg, VA",38.3031837,-77.4605399
"Freeport, ME",43.8570065,-70.1031201
"Fremont, CA",37.5482697,-121.9885719
"Frenchglen, OR",42.8279687,-118.9152153
"Fresno, CA",36.7468422,-119.7725868
"Friday Harbor, WA",48.5342662,-123.0171242
"Frisco, CO",39.5744309,-106.0975203
"Front Royal, VA",38.9181671,-78.1944446
"Ft. Davis, TX",30.588211,-103.894625
"Fulshear, TX",29.6899563,-95.8996757
"Fulton, MD",39.1511692,-76.9230507
"Gainesville, FL",29.6516344,-82.3248262
"Gainesville, VA",38.7956706,-77.6138802
"Gaithersburg, MD",39.1434406,-77.2013705
"Galeton, PA",41.7331245,-77.641931
"Garberville, CA",40.1000828,-123.79492
